"question_en","answer_en","question_mm","answer_mm"
"What is malware?","Malware is malicious software designed to harm devices or steal data.","malware ဆိုတာဘာလဲ။","malware ဆိုတာ ကွန်ပျူတာကိုဒုက္ခပေးဖို့ (သို့) အချက်အလက်ခိုးဖို့ ရည်ရွယ်ပြီးရေးထားတဲ့ ဆော့ဖ်ဝဲတစ်မျိုးဖြစ်ပါတယ်။"
"What is CPU usage?","CPU usage measures how much processing power your computer is currently using.","CPU usage ဆိုတာဘာလဲ။","CPU usage ဆိုတာ သင့်ကွန်ပျူတာရဲ့ လုပ်ဆောင်နိုင်စွမ်းကို ဘယ်လောက်အထိ အသုံးပြုနေလဲဆိုတာကို တိုင်းတာတာဖြစ်ပါတယ်။"
"How does RAM work?","RAM temporarily stores data for quick access by the CPU.","RAM ဘယ်လိုအလုပ်လုပ်သလဲ။","RAM က CPU အတွက် အချက်အလက်တွေကို ချက်ချင်းလက်ငင်း အသုံးပြုနိုင်အောင် ယာယီသိမ်းဆည်းပေးပါတယ်။"
"What is GPU acceleration?","GPU acceleration uses graphics processors to speed up computing tasks.","GPU acceleration ဆိုတာဘာလဲ။","GPU acceleration ဆိုတာ ကွန်ပျူတာလုပ်ငန်းတွေကို မြန်ဆန်စွာလုပ်ဆောင်နိုင်ဖို့ ဂရပ်ဖစ်ပရိုဆက်ဆာတွေကိုအသုံးပြုတာဖြစ်ပါတယ်။"
"What is an API?","An API allows different software applications to communicate with each other.","API ဆိုတာဘာလဲ။","API ဆိုတာ ဆော့ဖ်ဝဲအချင်းချင်း ဆက်သွယ်အလုပ်လုပ်နိုင်အောင် ကူညီပေးတဲ့စနစ်ဖြစ်ပါတယ်။"
"What is machine learning?","Machine learning enables computers to learn from data without explicit programming.","machine learning ဆိုတာဘာလဲ။","machine learning ဆိုတာ ကွန်ပျူတာတွေကို အချက်အလက်တွေကနေ အလိုအလျောက်သင်ယူနိုင်အောင် လုပ်ဆောင်ပေးတဲ့ နည်းပညာဖြစ်ပါတယ်။"
"What is a VPN?","A VPN creates a secure, encrypted connection over a public network.","VPN ဆိုတာဘာလဲ။","VPN ဆိုတာ အင်တာနက်ပေါ်မှာ လုံခြုံတဲ့၊ စာဝှက်ထားတဲ့ ချိတ်ဆက်မှုတစ်ခုကိုဖန်တီးပေးတာဖြစ်ပါတယ်။"
"How does cooling paste work?","Cooling paste improves heat transfer between CPU and heatsink.","cooling paste ဘယ်လိုအလုပ်လုပ်သလဲ။","cooling paste က CPU နဲ့ heatsink အကြား အပူကူးပြောင်းမှုကို ပိုကောင်းအောင်လုပ်ဆောင်ပေးပါတယ်။"
"What is SSD?","SSD is flash-based storage faster than traditional hard drives.","SSD ဆိုတာဘာလဲ။","SSD ဆိုတာ ရိုးရာ hard drive တွေထက် မြန်ဆန်တဲ့ flash memory အခြေပြု သိုလှောင်မှုစနစ်ဖြစ်ပါတယ်။"
"What is overclocking?","Overclocking increases component clock rates beyond factory settings.","overclocking ဆိုတာဘာလဲ။","overclocking ဆိုတာ ကွန်ပျူတာအစိတ်အပိုင်းတွေရဲ့ အလုပ်လုပ်နှုန်းကို စက်ရုံထုတ်အခြေအနေထက် ပိုမြှင့်တင်တာဖြစ်ပါတယ်။"
"What is BIOS?","BIOS is firmware that initializes hardware during booting process.","BIOS ဆိုတာဘာလဲ။","BIOS ဆိုတာ ကွန်ပျူတာစတင်တဲ့အခါ hardware တွေကို အသင့်ပြုလုပ်ပေးတဲ့ firmware တစ်ခုဖြစ်ပါတယ်။"
"What is cloud computing?","Cloud computing delivers computing services over the internet.","cloud computing ဆိုတာဘာလဲ။","cloud computing ဆိုတာ အင်တာနက်ကတစ်ဆင့် ကွန်ပျူတာဝန်ဆောင်မှုတွေကို ပေးစွမ်းတာဖြစ်ပါတယ်။"
"What is a kernel?","The kernel is the core part of an OS managing system resources.","kernel ဆိုတာဘာလဲ။","kernel ဆိုတာ operating system ရဲ့ အချက်အချာကျတဲ့အပိုင်းဖြစ်ပြီး system resources တွေကိုစီမံခန့်ခွဲပါတယ်။"
"What is cache memory?","Cache memory stores frequently used data for quick CPU access.","cache memory ဆိုတာဘာလဲ။","cache memory ဆိုတာ CPU အတွက် အမြဲသုံးနေကျအချက်အလက်တွေကို မြန်မြန်ဆန်ဆန်ရနိုင်အောင် သိမ်းထားတာဖြစ်ပါတယ်။"
